instance_size,num_variables,seed,solver,objective_value,optimality_gap,raw_feasibility_rate,repaired_feasible,runtime_sec,circuit_depth,two_qubit_gates,evaluations_count
6x3,18,109,Simulated_Annealing,9362.67,0.29,0.0,True,0.00607,0.0,0.0,684
6x3,18,109,QAOA_p1,9362.89,0.51,0.0,True,1.3369,27.0,0.0,20
6x3,18,127,Exact_MILP,9362.38,0.0,1.0,True,0.03391,0.0,0.0,1
6x3,18,127,Random_Sampler,9451.28,88.9,0.0,True,0.10518,0.0,0.0,1000
6x3,18,127,Simulated_Annealing,9362.67,0.29,0.0,True,0.00688,0.0,0.0,684
6x3,18,127,QAOA_p1,9371.95,9.57,0.002,True,1.4181,27.0,0.0,20
7x3,21,11,Exact_MILP,10637.58,0.0,1.0,True,0.03074,0.0,0.0,1
7x3,21,11,Random_Sampler,10664.09,26.51,0.0,True,0.11258,0.0,0.0,1000
7x3,21,11,Simulated_Annealing,10638.14,0.56,0.0,True,0.00778,0.0,0.0,684
7x3,21,11,QAOA_p1,10726.53,88.95,0.0,True,3.7673,31.0,0.0,20
7x3,21,23,Exact_MILP,10637.58,0.0,1.0,True,0.03222,0.0,0.0,1
7x3,21,23,Random_Sampler,10829.88,192.3,0.0,True,0.11828,0.0,0.0,1000
7x3,21,23,Simulated_Annealing,10638.14,0.56,0.0,True,0.00676,0.0,0.0,684
7x3,21,23,QAOA_p1,10789.82,152.24,0.0,True,4.1892,31.0,0.0,20
7x3,21,37,Exact_MILP,10637.58,0.0,1.0,True,0.03086,0.0,0.0,1
7x3,21,37,Random_Sampler,10877.37,239.79,0.0,True,0.12376,0.0,0.0,1000
7x3,21,37,Simulated_Annealing,10638.14,0.56,0.0,True,0.0068,0.0,0.0,684
7x3,21,37,QAOA_p1,10734.03,96.45,0.001,True,3.8161,31.0,0.0,20
7x3,21,42,Exact_MILP,10637.58,0.0,1.0,True,0.03144,0.0,0.0,1
7x3,21,42,Random_Sampler,10637.58,0.0,0.0,True,0.10825,0.0,0.0,1000
7x3,21,42,Simulated_Annealing,10638.14,0.56,0.0,True,0.00644,0.0,0.0,684
7x3,21,42,QAOA_p1,10747.49,109.91,0.0,True,3.6296,31.0,0.0,19
7x3,21,59,Exact_MILP,10637.58,0.0,1.0,True,0.03026,0.0,0.0,1
7x3,21,59,Random_Sampler,10790.94,153.36,0.001,True,0.11275,0.0,0.0,1000
7x3,21,59,Simulated_Annealing,10638.14,0.56,0.0,True,0.0063,0.0,0.0,684
7x3,21,59,QAOA_p1,10737.47,99.89,0.0,True,3.9614,31.0,0.0,20
7x3,21,71,Exact_MILP,10637.58,0.0,1.0,True,0.03234,0.0,0.0,1
7x3,21,71,Random_Sampler,10737.18,99.6,0.0,True,0.11742,0.0,0.0,1000
7x3,21,71,Simulated_Annealing,10638.14,0.56,0.0,True,0.00764,0.0,0.0,684
7x3,21,71,QAOA_p1,10737.74,100.16,0.0,True,3.4052,31.0,0.0,18
7x3,21,83,Exact_MILP,10637.58,0.0,1.0,True,0.03132,0.0,0.0,1
7x3,21,83,Random_Sampler,10638.14,0.56,0.0,True,0.12825,0.0,0.0,1000
7x3,21,83,Simulated_Annealing,10638.14,0.56,0.0,True,0.00615,0.0,0.0,684
7x3,21,83,QAOA_p1,10638.14,0.56,0.0,True,3.8002,31.0,0.0,20
7x3,21,97,Exact_MILP,10637.58,0.0,1.0,True,0.03312,0.0,0.0,1
7x3,21,97,Random_Sampler,10756.07,118.49,0.0,True,0.11033,0.0,0.0,1000
7x3,21,97,Simulated_Annealing,10638.14,0.56,0.0,True,0.00582,0.0,0.0,684
7x3,21,97,QAOA_p1,10853.38,215.8,0.001,True,3.8444,31.0,0.0,20
7x3,21,109,Exact_MILP,10637.58,0.0,1.0,True,0.03037,0.0,0.0,1
7x3,21,109,Random_Sampler,10637.87,0.29,0.0,True,0.10839,0.0,0.0,1000
7x3,21,109,Simulated_Annealing,10638.14,0.56,0.0,True,0.00654,0.0,0.0,684
7x3,21,109,QAOA_p1,10835.06,197.48,0.0,True,3.652,31.0,0.0,19
7x3,21,127,Exact_MILP,10637.58,0.0,1.0,True,0.03208,0.0,0.0,1
7x3,21,127,Random_Sampler,10805.16,167.58,0.0,True,0.11024,0.0,0.0,1000
7x3,21,127,Simulated_Annealing,10638.14,0.56,0.0,True,0.00683,0.0,0.0,684
7x3,21,127,QAOA_p1,10716.6,79.02,0.0,True,4.0728,31.0,0.0,20
8x3,24,11,Exact_MILP,12261.88,0.0,1.0,True,0.05524,0.0,0.0,1
8x3,24,11,Random_Sampler,12594.43,332.55,0.001,True,0.1239,0.0,0.0,1000
8x3,24,11,Simulated_Annealing,12262.44,0.56,0.0,True,0.00582,0.0,0.0,684
8x3,24,11,QAOA_p1,12262.44,0.56,0.0,True,25.0654,35.0,0.0,20
8x3,24,23,Exact_MILP,12261.88,0.0,1.0,True,0.03008,0.0,0.0,1
8x3,24,23,Random_Sampler,12262.44,0.56,0.0,True,0.11698,0.0,0.0,1000
8x3,24,23,Simulated_Annealing,12262.44,0.56,0.0,True,0.00804,0.0,0.0,684
8x3,24,23,QAOA_p1,12262.44,0.56,0.0,True,23.9351,35.0,0.0,20
8x3,24,37,Exact_MILP,12261.88,0.0,1.0,True,0.03096,0.0,0.0,1
8x3,24,37,Random_Sampler,12410.19,148.31,0.0,True,0.12892,0.0,0.0,1000
8x3,24,37,Simulated_Annealing,12262.44,0.56,0.0,True,0.00586,0.0,0.0,684
8x3,24,37,QAOA_p1,12379.97,118.09,0.001,True,25.608,35.0,0.0,20
8x3,24,42,Exact_MILP,12261.88,0.0,1.0,True,0.04003,0.0,0.0,1
8x3,24,42,Random_Sampler,12371.55,109.67,0.0,True,0.12918,0.0,0.0,1000
8x3,24,42,Simulated_Annealing,12262.44,0.56,0.0,True,0.0058,0.0,0.0,684
8x3,24,42,QAOA_p1,12271.74,9.86,0.0,True,22.761,35.0,0.0,17
8x3,24,59,Exact_MILP,12261.88,0.0,1.0,True,0.03994,0.0,0.0,1
8x3,24,59,Random_Sampler,12261.88,0.0,0.0,True,0.12484,0.0,0.0,1000
8x3,24,59,Simulated_Annealing,12262.44,0.56,0.0,True,0.00635,0.0,0.0,684
8x3,24,59,QAOA_p1,12271.74,9.86,0.0,True,24.3435,35.0,0.0,19
8x3,24,71,Exact_MILP,12261.88,0.0,1.0,True,0.03582,0.0,0.0,1
8x3,24,71,Random_Sampler,12458.02,196.14,0.001,True,0.11378,0.0,0.0,1000
8x3,24,71,Simulated_Annealing,12262.44,0.56,0.0,True,0.00575,0.0,0.0,684
